Wall time,Step,Value
1714376635.9830184,284,1.0
1714376636.1618457,285,0.0
1714376636.5728815,286,1.0
1714376636.639709,287,1.0
1714376636.7620897,288,0.0
1714376636.951585,289,1.0
1714376637.0570052,290,0.0
1714376637.6604419,291,1.0
1714376637.812163,292,0.0
1714376637.9966512,293,0.0
1714376638.2299266,294,0.0
1714376638.4793072,295,0.0
1714376638.731328,296,1.0
1714376639.3469272,297,0.0
1714376639.7316182,298,0.0
1714376639.7852836,299,1.0
1714376640.4767823,300,0.0
1714376640.7910066,301,1.0
1714376640.9574022,302,1.0
1714376641.0731,303,0.0
1714376641.1760955,304,0.0
1714376641.4087005,305,0.0
1714376641.4742687,306,1.0
1714376641.6442986,307,0.0
1714376641.9360447,308,0.0
1714376641.9759676,309,1.0
1714376642.0362184,310,1.0
1714376642.195471,311,0.0
1714376642.393646,312,0.0
1714376642.5267985,313,0.0
1714376642.7227023,314,0.0
1714376642.8275094,315,0.0
1714376642.9537373,316,0.0
1714376643.1263776,317,0.0
1714376643.2292552,318,1.0
1714376643.535484,319,1.0
1714376643.8913887,320,0.0
1714376644.0266619,321,0.0
1714376644.1854339,322,0.0
1714376644.5608296,323,0.0
1714376644.744253,324,0.0
1714376644.9832141,325,0.0
1714376645.2334433,326,0.0
1714376645.4068413,327,1.0
1714376645.5617704,328,0.0
1714376646.1039903,329,1.0
1714376646.4236825,330,0.0
1714376646.76218,331,0.0
1714376646.9553647,332,1.0
1714376647.1110382,333,0.0
1714376647.291446,334,0.0
1714376647.425511,335,1.0
1714376647.693291,336,0.0
1714376647.8973024,337,0.0
1714376648.1058748,338,0.0
1714376648.2579913,339,0.0
1714376648.3724575,340,0.0
1714376648.6877613,341,0.0
1714376648.8165472,342,0.0
1714376648.9671626,343,0.0
1714376649.1920505,344,0.0
1714376649.3990865,345,0.0
1714376649.512592,346,0.0
1714376649.6028569,347,1.0
1714376649.8534222,348,0.0
1714376650.1404152,349,0.0
1714376650.301253,350,0.0
1714376650.550575,351,0.0
1714376650.5927124,352,1.0
1714376651.1829646,353,1.0
1714376651.3982105,354,0.0
1714376651.5125399,355,0.0
1714376651.647837,356,0.0
1714376651.7656782,357,0.0
1714376651.809016,358,1.0
1714376651.9313002,359,0.0
1714376652.0372987,360,0.0
1714376652.2210855,361,0.0
1714376652.4988778,362,0.0
1714376652.757399,363,0.0
1714376653.0702002,364,0.0
1714376653.2055428,365,0.0
1714376653.337292,366,0.0
1714376653.816276,367,0.0
1714376654.0169342,368,0.0
1714376654.2955642,369,1.0
1714376654.6381109,370,0.0
1714376654.75652,371,1.0
1714376654.8178997,372,1.0
1714376654.9334803,373,0.0
1714376655.2490525,374,0.0
1714376655.6011431,375,1.0
1714376655.771717,376,1.0
1714376656.1535838,377,0.0
1714376656.3076699,378,0.0
1714376656.5375178,379,0.0
1714376656.6019902,380,1.0
1714376656.6449268,381,1.0
1714376656.9151707,382,0.0
1714376656.9611685,383,1.0
1714376657.1122615,384,0.0
1714376657.268253,385,0.0
1714376657.5477118,386,0.0
1714376657.7411087,387,0.0
1714376657.919376,388,0.0
1714376658.088546,389,0.0
1714376658.2185524,390,0.0
1714376658.7248042,391,1.0
1714376659.0007808,392,0.0
1714376659.2569358,393,0.0
1714376659.4644454,394,0.0
1714376659.5700998,395,0.0
1714376659.737942,396,0.0
1714376660.0579042,397,0.0
1714376660.165157,398,0.0
1714376660.3836124,399,1.0
1714376660.509044,400,0.0
1714376660.5958564,401,1.0
1714376660.7219698,402,0.0
1714376660.849637,403,0.0
1714376661.069799,404,0.0
1714376661.2411969,405,0.0
1714376661.4345624,406,0.0
1714376662.0404136,407,1.0
1714376662.377643,408,0.0
1714376662.553181,409,0.0
1714376662.8527453,410,0.0
1714376663.0920646,411,0.0
1714376663.5087776,412,1.0
1714376663.7021055,413,0.0
1714376663.745146,414,1.0
1714376663.874957,415,0.0
1714376664.007558,416,0.0
1714376664.2270892,417,0.0
1714376664.384899,418,0.0
1714376664.489374,419,1.0
1714376664.9047976,420,0.0
1714376665.4047267,421,0.0
1714376665.5346565,422,0.0
1714376665.832846,423,0.0
1714376666.2754955,424,0.0
1714376666.4813025,425,0.0
1714376666.9990172,426,0.0
1714376667.1715686,427,0.0
1714376667.3636389,428,1.0
1714376667.4912107,429,0.0
1714376667.6760864,430,1.0
1714376667.8385928,431,1.0
1714376668.018807,432,0.0
1714376668.1960604,433,0.0
1714376668.3428657,434,0.0
1714376668.922038,435,0.0
1714376669.0930755,436,0.0
1714376669.3487673,437,0.0
1714376669.5631936,438,1.0
1714376669.7906206,439,0.0
1714376669.8362792,440,1.0
1714376670.1115663,441,0.0
1714376670.253175,442,1.0
1714376670.5242622,443,0.0
1714376670.6461818,444,0.0
1714376670.7680063,445,0.0
1714376670.8890598,446,0.0
1714376670.9931796,447,0.0
1714376671.3316603,448,0.0
1714376671.5930345,449,0.0
