Wall time,Step,Value
1712490858.041127,345,1.0
1712490859.561531,346,0.0
1712490863.109928,347,1.0
1712490864.46947,348,0.0
1712490866.225458,349,0.0
1712490869.082484,350,0.0
1712490870.234974,351,0.0
1712490874.295943,352,1.0
1712490878.519076,353,0.0
1712490882.704604,354,1.0
1712490885.326681,355,0.0
1712490887.489749,356,0.0
1712490890.207081,357,1.0
1712490891.11977,358,0.0
1712490894.330785,359,0.0
1712490897.247897,360,1.0
1712490901.154375,361,1.0
1712490902.085171,362,0.0
1712490906.620004,363,1.0
1712490910.114597,364,0.0
1712490910.996457,365,0.0
1712490913.344135,366,0.0
1712490915.66707,367,0.0
1712490916.78666,368,0.0
1712490920.572596,369,1.0
1712490921.551679,370,0.0
1712490923.252697,371,0.0
1712490926.829312,372,0.0
1712490931.090415,373,1.0
1712490933.656634,374,1.0
1712490936.853495,375,1.0
1712490940.586107,376,1.0
1712490943.479014,377,0.0
1712490944.895339,378,0.0
1712490946.063922,379,0.0
1712490948.011669,380,0.0
1712490949.204258,381,0.0
1712490952.422336,382,1.0
1712490956.881008,383,0.0
1712490958.272699,384,0.0
1712490959.505222,385,0.0
1712490960.789485,386,0.0
1712490963.56397,387,1.0
1712490966.514288,388,1.0
1712490970.023113,389,1.0
1712490972.127507,390,0.0
1712490973.294806,391,0.0
1712490975.327476,392,0.0
1712490977.404703,393,0.0
1712490980.475261,394,1.0
1712490981.917252,395,0.0
1712490983.3747,396,0.0
1712490987.703429,397,1.0
1712490991.11005,398,1.0
1712490991.788756,399,0.0
1712490993.806855,400,0.0
1712490995.46178,401,0.0
1712490997.547659,402,0.0
1712490998.103201,403,0.0
1712491001.885516,404,0.0
1712491004.551018,405,1.0
1712491005.960555,406,0.0
1712491008.821267,407,1.0
1712491012.078929,408,1.0
1712491015.419264,409,1.0
1712491017.374584,410,0.0
1712491018.086854,411,0.0
1712491021.505485,412,1.0
1712491023.475947,413,0.0
1712491025.174946,414,0.0
1712491025.847414,415,0.0
1712491027.090679,416,0.0
1712491030.525131,417,1.0
1712491031.407816,418,0.0
1712491035.10584,419,0.0
1712491038.3213,420,1.0
1712491042.781273,421,1.0
1712491044.736972,422,0.0
1712491049.013115,423,1.0
1712491053.04579,424,1.0
1712491054.004682,425,0.0
1712491056.771884,426,1.0
1712491059.630295,427,0.0
1712491062.886503,428,0.0
1712491066.160401,429,0.0
1712491070.914575,430,1.0
1712491075.227542,431,1.0
1712491077.015044,432,0.0
1712491079.543408,433,0.0
1712491083.846391,434,1.0
1712491086.258139,435,1.0
1712491089.035128,436,1.0
1712491093.175258,437,1.0
1712491096.798954,438,1.0
1712491100.080885,439,0.0
1712491100.89626,440,0.0
1712491105.596162,441,1.0
1712491107.653161,442,0.0
1712491110.861496,443,0.0
1712491115.676431,444,1.0
1712491119.537212,445,1.0
1712491122.508683,446,0.0
1712491126.110315,447,1.0
1712491128.948042,448,1.0
1712491130.162713,449,0.0
1712491133.314,450,1.0
1712491136.757056,451,1.0
1712491137.923306,452,0.0
1712491141.18217,453,0.0
1712491144.575844,454,1.0
1712491146.912175,455,1.0
1712491150.128323,456,0.0
1712491151.448448,457,0.0
1712491155.038971,458,0.0
1712491156.552303,459,0.0
1712491159.225105,460,0.0
1712491162.370538,461,1.0
1712491163.64887,462,0.0
1712491164.616126,463,0.0
1712491167.898216,464,1.0
1712491170.030208,465,0.0
1712491173.015836,466,1.0
1712491176.419676,467,1.0
1712491179.066969,468,1.0
1712491182.567116,469,1.0
1712491185.514143,470,1.0
1712491189.263564,471,1.0
1712491190.207377,472,0.0
1712491193.354741,473,0.0
1712491194.348801,474,0.0
1712491195.773155,475,0.0
1712491197.428036,476,0.0
1712491200.691583,477,0.0
1712491203.537232,478,1.0
1712491206.188567,479,1.0
1712491208.921902,480,0.0
1712491209.640948,481,0.0
1712491212.946691,482,1.0
1712491215.953764,483,0.0
1712491221.12431,484,1.0
1712491224.657506,485,0.0
1712491227.600389,486,0.0
1712491229.213157,487,0.0
1712491230.077212,488,0.0
1712491231.813864,489,0.0
1712491235.737518,490,0.0
1712491239.190419,491,0.0
1712491240.769251,492,0.0
1712491243.488631,493,1.0
1712491246.789532,494,0.0
1712491250.766049,495,1.0
1712491252.160466,496,0.0
1712491256.221505,497,0.0
1712491257.671672,498,0.0
1712491260.39635,499,1.0
1712491263.116573,500,1.0
1712491267.015844,501,1.0
1712491270.138886,502,1.0
1712491272.662113,503,0.0
1712491275.164851,504,1.0
1712491276.619685,505,0.0
1712491279.140772,506,0.0
1712491284.072467,507,1.0
1712491288.529514,508,1.0
1712491292.013583,509,1.0
1712491293.095467,510,0.0
1712491294.186508,511,0.0
1712491295.341763,512,0.0
1712491298.679614,513,1.0
1712491300.459318,514,0.0
1712491303.49621,515,0.0
1712491306.92129,516,1.0
1712491308.36031,517,0.0
1712491312.696377,518,0.0
1712491315.637034,519,0.0
1712491316.984532,520,0.0
1712491319.759312,521,1.0
1712491323.306708,522,1.0
1712491325.48211,523,0.0
1712491328.638441,524,0.0
1712491330.776674,525,0.0
1712491333.951624,526,1.0
1712491338.605667,527,1.0
1712491341.229594,528,1.0
1712491344.06856,529,1.0
1712491347.783819,530,0.0
1712491349.661159,531,0.0
1712491352.650931,532,1.0
1712491354.298299,533,0.0
1712491355.646933,534,0.0
1712491359.570865,535,1.0
1712491363.785784,536,1.0
1712491364.715698,537,0.0
1712491367.402591,538,1.0
1712491371.135485,539,0.0
1712491373.464404,540,0.0
1712491374.854215,541,0.0
1712491376.578289,542,0.0
1712491379.70402,543,1.0
1712491380.611678,544,0.0
1712491382.46089,545,0.0
1712491385.993742,546,1.0
1712491389.909423,547,0.0
1712491393.324597,548,1.0
1712491395.568703,549,0.0
1712491396.924944,550,0.0
1712491400.632,551,1.0
1712491402.035877,552,0.0
1712491406.210895,553,1.0
1712491408.097909,554,0.0
1712491409.765655,555,0.0
1712491411.158845,556,0.0
1712491415.847443,557,0.0
1712491418.663347,558,1.0
1712491422.010533,559,1.0
1712491424.324954,560,0.0
1712491426.07093,561,0.0
1712491429.80422,562,1.0
1712491431.01591,563,0.0
1712491434.640094,564,1.0
1712491435.789651,565,0.0
1712491439.41308,566,0.0
1712491440.459972,567,0.0
1712491443.460723,568,0.0
1712491445.287221,569,0.0
1712491446.94975,570,0.0
1712491448.109414,571,0.0
1712491451.54647,572,0.0
1712491453.680705,573,0.0
1712491454.665569,574,0.0
1712491455.483725,575,0.0
1712491459.060403,576,1.0
1712491463.07649,577,1.0
1712491464.083212,578,0.0
1712491465.921673,579,0.0
1712491470.287623,580,0.0
1712491473.404345,581,0.0
1712491475.018952,582,0.0
1712491476.416029,583,0.0
1712491477.374382,584,0.0
1712491480.322463,585,1.0
1712491482.240334,586,0.0
1712491484.323018,587,0.0
1712491487.84052,588,1.0
1712491489.382979,589,0.0
1712491492.032441,590,0.0
1712491496.497696,591,0.0
1712491499.70493,592,1.0
1712491503.444527,593,1.0
1712491505.444445,594,0.0
1712491508.800666,595,1.0
1712491512.002454,596,0.0
1712491515.966374,597,1.0
1712491520.58314,598,1.0
1712491522.593702,599,0.0
1712491526.222523,600,1.0
1712491528.036158,601,0.0
1712491530.869011,602,0.0
1712491532.824037,603,0.0
1712491535.904566,604,0.0
1712491539.429346,605,1.0
1712491542.361392,606,1.0
1712491545.694646,607,1.0
1712491549.748414,608,1.0
1712491553.240224,609,1.0
1712491558.08309,610,1.0
1712491560.840166,611,1.0
1712491562.922478,612,0.0
1712491568.486231,613,1.0
1712491571.576907,614,0.0
1712491572.8708,615,0.0
1712491575.111016,616,0.0
1712491578.8667,617,0.0
1712491583.291601,618,1.0
1712491585.347972,619,0.0
1712491588.767575,620,1.0
1712491592.268535,621,1.0
1712491593.389018,622,0.0
1712491595.650966,623,0.0
1712491596.459989,624,0.0
1712491599.698861,625,1.0
1712491603.554862,626,1.0
1712491606.161276,627,1.0
1712491607.990686,628,0.0
1712491611.738115,629,1.0
1712491615.7224,630,1.0
1712491617.559963,631,0.0
1712491620.825359,632,1.0
1712491622.750793,633,0.0
